0191500-07                                                                    00000006 833101       00181070NNMDGCPXNGAILLAC DISTRIB.CTRE     20090622
0191500-07                                                                    00000006 833556       00111000NNMDGCPXNT.P.L.M.CENTRE LECLER    20090624
0191500-07                                                                    00000012 833538       00147250NNMDGCPXNCENTRE LECLERC MARMAN    20090629
0191500-07                                                                    00000012 833915       00104004NNMDGCPXNSODIALPES CENTRE LECL    20090629
0191500-07                                                                    00000012 834203       00146034NNMDGCPXNSOCAPDIS CENTRE LECLE    20090629
0191500-07                                                                    00000006 836002       00111107NNMDGCPXNLIMOUX DISTR. CTRE LE    20090630
0191500-07                                                                    00000012 836189       00182002NNMDGCPXNAUDIS CENTRE LECLERC     20090630
0191500-07                                                                    00000006 836375       00113601NNMDGCPXNSALONDIS CENTRE LECLE    20090630
0191500-07                                                                    00000012 833533       00166044NNMDGCPXNVERNET DIS               20090701
0191500-07                                                                    00000006 833629       00113274NNMDGCPXNCENTRE LECLERC MARSEI    20090701
0191500-07                                                                    00000012 834369       00106210NNMDGCPXNNIKAIADIS II CENTRE L    20090701
0191500-07                                                                    00000006 836380       00183044NNMDGCPXNSODILUC CENTRE LECLER    20090701
0191500-07                                                                    00000012 835171       00133315NNMDGCPXNHYPER COSMOS CENTRE L    20090702
0191500-07                                                                    00000006 833573       00113274NNMDGCPXNCENTRE LECLERC MARSEI    20090707
0191500-07                                                                    00000018 834456       00133317NNMDGCPXNLANGON DISTR. CTRE LE    20090707
0191500-07                                                                    00000006 836440       00113300NNMDGNGONTUILLIERES DIS.CTRE L    20090710
0191500-07                                                                    00000006 835354       00183044NNMDGCPXNSODILUC CENTRE LECLER    20090715
0191500-07                                                                    00000006 836452       00106111NNMDGCPXYMELHODI CENTRE LECLER    20090722
0191500-07                                                                    00000006 836377       00113601NNMDGCPXNSALONDIS CENTRE LECLE    20090724
0191500-07                                                                    00000006 836435       00106111NNMDGCPXYMELHODI CENTRE LECLER    20090804
01918011                                                                      00000030 834830       00193003NNMDGSYGYSPICERS                  20090202
01918011                                                                      00000020 835570       00113810NNMDGCOLYVIKING DIRECT            20090202
01918011                                                                      00000100 836071       00145165NNMDGCOLYVIKING DIRECT            20090205
01918011                                                                      00000005 836433       00100064NNMDGJOSYGDE PAP.DE MONTE CARL    20090205
01918011                                                                      00000005 836451       00175306NNMDGJOSYGIBERT JOSEPH VITRY      20090206
01918011                                                                      00000005 836600       00173500NNMDGS03YLA PAPETERIE SA          20090206
01918011                                                                      00000300 833804       00160065NNMDGCOLNOFFICE DEPOT BS SAS      20090223
01943501                                                                      00002000 836541       00113193NNMDGSYAYPAP DU COMMERCE          20090206
01961031                                                                      00000005 836541       00113193NNMDGSYAYPAP DU COMMERCE          20090206
01961031                                                                      00000040 834084       00193397NNMDGSYAYSACFOM (CENTRALE)        20090212
01961031                                                                      00000005 836130       00264950NYMDGCATNLIBRAIRIE BUFALO         20090423
02057081                                                                      00000120 835590       00193003NNMDGSYGYSPICERS                  20090206
02057081                                                                      00000040 836378       00154138NYMDGSYAYETS SCHALLER TT POUR     20090206
02057081                                                                      00001000 836626       00003990NNMDGISANELBA OFFICE PRODUCTS     20090213
02121011                                                                      00000010 834906       00182067NNMDGSYGYDIFPAP                   20090206
02145011                                                                      00000012 836303       00145165NNMDGCOLYVIKING DIRECT            20090209
02145011                                                                      00000003 834587       00820051NYMDGCATNPAPETERIE AS DE TREFL    20090210
02145011                                                                      00000012 836623       00102188NNMDGSYGYM.D.S                    20090210
02145011                                                                      00000001 835633       00106601NYMDGSYTYPRIVAT SORBONNE-ANTIB    20090625
02147011                                                                      00000005 836286       00138700NNMDGS01YBUREAU VALLEE BOURGOU    20090206
