120815-09           00004750                        000000000000005000000050       MDG
120815-13           00008050                        000000000000005000000050       MDG
120815-14           00005400                        000000000000005000000050       MDG
120815-20           00005900                        000005500000005000000050       MDG
121519-20           00030650                        000003000000005000000050       MDG
121519-20           00009000                        000003000000005000000050       SOT
12151901-20         00003400                        000000000000005000000050       MDG
121918-20           00000360                        000000300000000500000005       MDG
1222-17             00005664                        000000000000002400000024       SOB
122549-20           00000500                        000000000000005000000050       MDG
122549-20           00008150                        000000000000005000000050       SOT
122876-20           00000660                        000000000000001000000010       MDG
123639-20           00017940                        000002250000001500000015       MDG
123639-20           00001680                        000002250000001500000015       SOT
12363950-20         00002475                        000000000000027500000275       MDG
126519-20           00003525                        000004250000002500000025       MDG
129529-03           00000000                        000000800000001000000010       LEV
129529-03           00002940                        000000800000001000000010       MDG
129529-13           00001270                        000000000000001000000010       MDG
129529-14           00000270                        000000000000001000000010       MDG
129529-20           00005530                        000006400000001000000010       MDG
129529-20           00000000                        000006400000001000000010       SO2
129539-20           00011760                        000023040000001200000012       BIS
129539-20           00013524                        000023040000001200000012       MDG
129539-20           00009348                        000023040000001200000012       SOT
129539-20           00000000                        000023040000001200000012       SO2
129559-03           00000002                        000000000000000200000002       MDG
129559-08           00000002                        000000000000000200000002       MDG
129559-14           00000074                        000000000000000200000002       MDG
131539-20           00000200                        000000000000020000000200       MDG
133535-20           00000936                        000000000000007800000078       SOT
13353901-20         00012255                        000000000000001500000015       MDG
13353901-20         00029160                        000000000000001500000015       SOT
134539-20           00000900                        000000000000010000000100       MDG
136569-20           00000125                        000000000000012500000125       MDG
136600-20           00000132                        000000000000006600000066       MDG
