096860-20           00000672 0254316                                                     090318
097659-20           00000480 0269585                                                     090310
098359-20           00000576 0253233                                                     090317
098359-20           00000576 0253237                                                     090324
098360-20           00000576 0254321                                                     090317
098360-20           00001152 0254489                                                     090324
098659-20           00002688 0246121                                                     090224
098659-20           00001792 0254416                                                     090317
098660-20           00003136 0247373                                                     090210
098660-20           00000448 0253256                                                     090317
098660-20           00000448 0254536                                                     090310
099959-20           00001920 0246368                                                     090130
099959-20           00001920 0251915                                                     090220
099959-20           00001920 0251916                                                     090313
10014009-20         00049000 0263746                                                     090303
10014109-17         00032000 0252840                                                     090312
10014109-17         00011000 0253699                                                     090316
10014209-04         00020000 0252851                                                     090317
10014209-04         00035000 0253702                                                     090227
10014209-04         00030000 0259096                                                     090316
10014309-08         00010000 0252875                                                     090417
10014309-08         00003500 0253534                                                     090603
10014309-08         00007000 0253543                                                     090302
10014309-08         00027000 0259097                                                     090223
10014409-09         00007000 0252894                                                     090417
10014409-09         00003500 0253545                                                     090603
10014509-11         00008000 0252897                                                     090417
10014509-11         00003500 0253558                                                     090603
10014609-13         00028000 0247863                                                     090312
10014609-13         00015000 0252908                                                     090317
10014609-13         00027800 0259100                                                     090316
10014709-15         00015000 0252918                                                     090323
10014709-15         00003500 0253403                                                     090603
10014709-15         00042000 0259101                                                     090303
10014809-10         00010000 0252929                                                     090224
10014809-10         00017500 0253414                                                     090316
10014809-10         00002830 0259102                                                     090206
10015009-20         00028000 0252934                                                     090408
10015009-20         00007000 0253588                                                     090603
10015009-20         00035000 0253757                                                     090306
10015009-20         00036000 0253763                                                     090306
10016009-20         00054000 0252948                                                     090312
10016009-20         00011250 0253672                                                     090603
10016009-20         00018000 0253792                                                     090310
10016109-17         00034000 0252994                                                     090324
10016109-17         00026000 0253815                                                     090310
10016209-04         00003300 0248830                                                     090303
10016209-04         00010000 0253065                                                     090323
10016209-04         00010000 0253079                                                     090323
10016309-08         00013500 0253712                                                     090416
10016409-09         00006000 0248283                                                     090310
10016409-09         00004000 0253161                                                     090323
10016409-09         00004500 0253723                                                     090603
10016509-11         00007800 0253166                                                     090213
10016509-11         00004500 0253740                                                     090603
10016609-13         00013000 0253192                                                     090417
10016609-13         00002250 0253775                                                     090603
10016709-15         00010000 0253235                                                     090417
10016709-15         00004500 0253814                                                     090603
10016809-10         00004000 0253258                                                     090417
10016809-10         00002250 0253821                                                     090603
10017009-20         00015000 0253263                                                     090310
10017009-20         00016000 0253676                                                     090310
10017009-20         00015000 0253873                                                     090310
10018002-20         00002700 0253833                                                     090416
10018008-20         00010800 0252476                                                     090217
10018008-20         00013500 0252484                                                     090217
10018008-20         00010800 0253839                                                     090603
10018008-20         00007500 0253885                                                     090203
10018009-20         00004500 0252496                                                     090319
10018009-20         00013500 0252504                                                     090319
10018009-20         00013500 0253398                                                     090319
10018009-20         00033000 0253890                                                     090213
10018109-17         00080000 0253301                                                     090617
10018109-17         00040000 0253905                                                     090417
10018109-17         00040000 0253906                                                     090330
10018109-17         00040000 0253907                                                     090219
10018109-17         00025000 0253908                                                     090223
10018209-04         00022500 0252678                                                     090330
10018209-04         00023000 0253334                                                     090617
10018209-04         00020000 0253922                                                     090213
10018309-08         00012000 0248733                                                     090203
10018309-08         00011000 0252703                                                     090217
10018309-08         00010000 0253368                                                     090617
10018409-09         00005000 0253383                                                     090624
10018409-09         00006750 0253499                                                     090218
10018409-09         00011250 0253954                                                     090603
10018509-11         00020250 0252792                                                     090330
10018509-11         00004000 0254568                                                     090617
10018509-11         00001250 0263750                                                     090122
10018609-13         00020250 0252838                                                     090417
10018609-13         00013000 0253422                                                     090617
10018609-13         00012000 0253971                                                     090319
10018709-15         00035000 0248887                                                     090406
10018709-15         00020250 0252853                                                     090406
10018709-15         00012000 0253433                                                     090617
10018709-15         00024000 0253975                                                     090406
10018809-10         00020250 0252873                                                     090407
10019009-20         00027000 0253497                                                     090610
10019009-20         00010000 0254014                                                     090330
10019009-20         00009750 0263748                                                     090116
10020009-20         00023000 0253514                                                     090330
10020009-20         00025000 0254017                                                     090330
10020009-20         00021000 0254077                                                     090406
10020009-20         00010750 0263863                                                     081203
10020109-17         00008000 0253523                                                     090421
10020109-17         00000875 0254028                                                     090205
10020109-17         00003500 0254164                                                     090603
10021009-20         00015000 0253528                                                     090330
10021009-20         00015000 0254035                                                     090330
10022008-20         00009200 0253544                                                     090226
10022009-20         00020000 0253547                                                     090226
10022009-20         00031000 0254048                                                     090226
10022009-20         00025000 0254181                                                     090226
10022109-17         00006000 0253568                                                     090210
10022109-17         00006000 0254056                                                     090213
10022109-17         00009000 0254218                                                     090421
10023008-20         00004000 0253597                                                     090421
10023009-20         00010000 0253603                                                     090417
10023009-20         00015000 0254064                                                     090202
10023009-20         00009000 0254225                                                     090421
